HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,lastObsDate,cuminf_50,underasc_50,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
4605,CanadaManitobaSouthernHealth,Manitoba,Southern Health,2021-12-10 06:42:10.085713,2021-12-10 00:00:00.000000,2:35:58.402042,2.39458282,3.43558016,5.02817268,4930,7073,10352,2021-12-09,37.52488418,13.30869927,1.67005755,2.83868791,4.43211734,1.06119649,2.23053441,3.80088670
4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2021-12-07 07:38:30.656058,2021-12-07 00:00:00.000000,3:38:14.142053,0.78831548,1.10730325,1.52290091,6209,8722,11996,2021-12-06,42.11922714,11.27499328,0.92198659,1.18614014,1.64082607,0.84047298,1.24969608,1.79680620
1012,CanadaNLCentral,NL,Central,2021-12-10 06:19:54.532692,2021-12-10 00:00:00.000000,2:13:53.552739,0.01090010,0.02622286,0.07340978,9,22,62,2021-12-09,0.45401803,10.45939923,0.00442903,0.01275436,0.04662209,0.00174591,0.00686017,0.03840762
1011,CanadaNLEastern,NL,Eastern,2021-12-10 07:18:44.422138,2021-12-10 00:00:00.000000,1:59:29.171760,0.00168039,0.00617905,0.01748055,5,19,54,2021-12-09,4.81473588,9.96201228,0.00042615,0.00220912,0.01028592,0.00008764,0.00093801,0.00719821
1014,CanadaNLLabrador-Grenfell,NL,Labrador-Grenfell,2021-12-10 06:28:02.463990,2021-12-10 00:00:00.000000,1:22:13.618820,0.00000001,0.00000211,0.00046794,0,0,0,2021-12-09,0.27986564,13.01425600,0.00000000,0.00000072,0.00032674,0.00000000,0.00000026,0.00022845
1013,CanadaNLWestern,NL,Western,2021-12-10 06:07:53.779090,2021-12-10 00:00:00.000000,1:50:30.138213,0.09986766,0.22478395,0.41219624,72,164,301,2021-12-09,0.13590542,6.73803953,0.06241193,0.30980241,0.81043423,0.03888907,0.43983743,1.65256185
6101,CanadaNWTNWT,NWT,NWT,2021-12-10 06:44:19.189460,2021-12-10 00:00:00.000000,2:27:11.508593,0.11343391,0.32090202,0.78951039,49,141,348,2021-12-09,5.06600238,8.29274917,0.04638887,0.16287207,0.48696780,0.01900942,0.08485189,0.29932322
1301,CanadaNewBrunswickZone1(Monctonarea),New Brunswick,Zone 1 (Moncton area),2021-12-10 06:59:38.138676,2021-12-10 00:00:00.000000,2:54:01.699607,0.26095438,0.54590896,1.02905334,566,1185,2234,2021-12-09,0.78526394,5.43931042,0.16809943,0.40286708,0.89995280,0.10778001,0.29361361,0.93416920
1302,CanadaNewBrunswickZone2(SaintJohnarea),New Brunswick,Zone 2 (Saint John area),2021-12-10 07:02:50.166063,2021-12-10 00:00:00.000000,2:46:02.249285,0.69977372,1.16362760,1.54706236,1045,1738,2311,2021-12-09,2.55452551,12.41836911,0.62340453,1.37106114,2.37881314,0.50629283,1.44786733,3.57995862
1303,CanadaNewBrunswickZone3(Frederictonarea),New Brunswick,Zone 3 (Fredericton area),2021-12-10 06:51:37.121923,2021-12-10 00:00:00.000000,2:34:54.686904,2.64273210,3.60149466,4.96664999,4734,6451,8897,2021-12-09,1.84349879,11.86372829,4.93062607,7.07891241,10.63092814,8.41392021,12.03127475,17.73670000
1304,CanadaNewBrunswickZone4(Edmundstonarea),New Brunswick,Zone 4 (Edmundston area),2021-12-10 06:32:20.956605,2021-12-10 00:00:00.000000,2:15:37.362036,0.08787186,0.27221542,0.45565244,39,123,206,2021-12-09,19.59723103,10.32306866,0.03393991,0.25258343,0.56972372,0.01201450,0.24576423,0.73280079
1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-12-10 06:33:02.518362,2021-12-10 00:00:00.000000,2:16:32.203724,0.12413931,0.24703304,0.48684856,28,57,112,2021-12-09,2.22832251,4.13915698,0.03125717,0.17116894,0.59926140,0.00785628,0.10875273,0.77379263
1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-12-10 06:21:26.831813,2021-12-10 00:00:00.000000,2:05:12.158797,0.10516712,0.22612639,0.38033237,74,160,269,2021-12-09,1.88908159,12.94524766,0.06672183,0.20609621,0.45390706,0.04277434,0.19841445,0.58161716
1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2021-12-10 06:56:26.029009,2021-12-10 00:00:00.000000,2:40:26.262937,2.37622622,3.24828729,4.84753775,1008,1378,2057,2021-12-09,0.06915957,5.04500138,1.77018726,2.97044863,5.13076765,1.24055638,2.61092734,4.64175072
1201,CanadaNovaScotiaZone1-Western,Nova Scotia,Zone 1 - Western,2021-12-10 06:39:40.646870,2021-12-10 00:00:00.000000,2:23:32.049926,0.01338430,0.02670087,0.05399435,24,49,100,2021-12-09,1.22605295,10.33424159,0.00400866,0.00929908,0.02446864,0.00096661,0.00357046,0.01184052
1202,CanadaNovaScotiaZone2-Northern,Nova Scotia,Zone 2 - Northern,2021-12-10 06:48:03.556474,2021-12-10 00:00:00.000000,2:32:08.333818,0.34540156,0.55082239,0.78188293,504,803,1141,2021-12-09,1.67963333,10.19962228,0.14141778,0.32717888,0.54040650,0.06329543,0.19166693,0.42523474
1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-12-10 07:00:13.895564,2021-12-10 00:00:00.000000,2:44:28.911068,0.56606866,0.89945141,1.20878011,782,1242,1670,2021-12-09,3.61754311,11.83287445,1.65959833,2.33270517,3.51405985,4.07420856,5.83591327,9.16191544
1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-12-10 07:12:13.213841,2021-12-10 00:00:00.000000,2:56:33.611994,0.29379608,0.49325043,0.92336495,1306,2193,4106,2021-12-09,12.44548327,12.23713585,0.26478540,0.58315529,1.38017183,0.26635657,0.64589892,2.11999197
3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2021-12-07 08:37:57.868882,2021-12-07 00:00:00.000000,4:10:32.444039,0.92882525,1.14326815,1.65370202,978,1203,1741,2021-12-06,27.38817966,10.93383659,1.03230636,1.20698252,1.70589659,1.12425138,1.26136374,1.69880913
3530,CanadaOntarioDurham,Ontario,Durham,2021-12-10 07:30:34.466034,2021-12-10 00:00:00.000000,3:14:53.858404,0.36521477,0.83406285,1.44753455,2555,5835,10127,2021-12-09,23.11473053,6.25013298,0.37498376,0.97224605,1.98766193,0.33129034,1.12671359,2.76373852
3558,CanadaOntarioEastern,Ontario,Eastern,2021-12-10 08:28:14.765978,2021-12-10 00:00:00.000000,4:12:32.891260,0.28789805,0.32689098,0.36749581,516,586,659,2021-12-09,34.67717120,7.86026570,0.31131910,0.35825637,0.40223222,0.33952303,0.38758190,0.43535151
3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-12-10 07:17:17.791383,2021-12-10 00:00:00.000000,3:01:47.959730,0.34839739,0.63171286,1.04410539,538,977,1614,2021-12-09,12.82475743,12.31219820,0.26485807,0.65866829,1.60409417,0.21017495,0.63320457,2.23915512
3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-12-10 07:16:31.758848,2021-12-10 00:00:00.000000,3:01:05.892912,0.79750368,1.45649724,2.30618677,901,1647,2608,2021-12-09,29.30130167,11.34072608,0.53817690,1.23762444,2.32576724,0.30543507,0.95941733,2.24350503
3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2021-12-07 07:49:50.689309,2021-12-07 00:00:00.000000,3:25:11.072891,0.34917503,0.55103183,0.99395277,648,1023,1845,2021-12-06,14.60331312,12.51185354,0.46771765,0.75848758,1.38283121,0.60748409,1.10814322,1.87643602
3536,CanadaOntarioHalton,Ontario,Halton,2021-12-10 07:45:35.138828,2021-12-10 00:00:00.000000,3:30:30.685075,0.53131351,1.27895052,2.03993486,3216,7743,12351,2021-12-09,24.51591084,8.74680330,0.44918321,1.77030430,3.62664030,0.39579695,2.35597179,5.79984084
3537,CanadaOntarioHamilton,Ontario,Hamilton,2021-12-10 07:43:20.802355,2021-12-10 00:00:00.000000,3:28:24.173154,0.44116826,0.85081599,1.47816503,2542,4903,8518,2021-12-09,25.04640767,7.03056369,0.50098448,1.18572266,2.25749801,0.56790186,1.58176106,3.55730694
3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2021-12-10 06:34:10.022326,2021-12-10 00:00:00.000000,2:19:03.370304,1.77067526,2.77045752,4.14222190,2563,4011,5997,2021-12-09,10.42804001,12.49984077,1.70690144,3.15905785,5.49043069,1.55113577,3.51978762,6.94942693
3539,CanadaOntarioHuronPerth,Ontario,Huron Perth,2021-12-10 07:03:32.439099,2021-12-10 00:00:00.000000,2:48:31.773139,0.79881513,1.50043437,2.70135553,1091,2050,3691,2021-12-09,21.32811011,12.69434728,0.71761907,1.65667004,3.44931396,0.51807499,1.82682910,5.53282259
3541,CanadaOntarioKingstonFrontenacLennox&Addington,Ontario,Kingston Frontenac Lennox & Addington,2021-12-10 06:37:28.636025,2021-12-10 00:00:00.000000,2:22:43.260853,3.50603049,5.17968170,7.84131930,7249,10709,16213,2021-12-09,4.21987417,6.19846894,5.74798112,8.14280354,13.31586469,7.28653542,12.08435547,19.57939137
3542,CanadaOntarioLambton,Ontario,Lambton,2021-12-10 06:45:35.593547,2021-12-10 00:00:00.000000,2:30:58.035276,0.38218044,0.80525862,1.31136218,443,933,1520,2021-12-09,36.55848978,11.06280376,0.31465773,0.95767061,1.80715447,0.25789588,1.06089475,2.43622131
3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-12-10 07:00:23.008679,2021-12-10 00:00:00.000000,2:45:51.417297,0.75191301,1.36160012,2.16708562,1154,2091,3328,2021-12-09,20.88524687,12.21138841,0.91168622,2.05984599,3.95411453,0.91341990,3.01585061,7.16233154
3544,CanadaOntarioMiddlesex-London,Ontario,Middlesex-London,2021-12-10 07:47:14.710860,2021-12-10 00:00:00.000000,3:32:41.950717,0.66709628,1.01857751,1.64132483,3288,5021,8091,2021-12-09,20.14509530,8.16417208,0.97971818,1.85209925,2.69442917,1.40413249,3.16370981,4.84575840
3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-10 07:43:10.412732,2021-12-10 00:00:00.000000,3:28:48.297004,0.20091107,0.38429997,0.91099115,905,1732,4106,2021-12-09,24.09209324,7.03457601,0.17182857,0.47607191,1.27765241,0.14476458,0.61620672,1.98871766
3547,CanadaOntarioNorthBayParrySound,Ontario,North Bay Parry Sound,2021-12-10 06:27:15.860140,2021-12-10 00:00:00.000000,2:12:48.171177,0.36488026,0.60022375,0.86781982,469,773,1117,2021-12-09,5.00192231,13.33103580,0.34255651,0.75743755,1.26308831,0.30185238,0.90271930,2.08705099
